,image,class,set
0,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237852381-222754.JPG,0,train
1,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237852388-108.JPG,0,train
2,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237852964-74877.JPG,1,train
3,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237853192-298146.JPG,2,train
4,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237853950-148876.JPG,2,train
5,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237854094-75097.JPG,2,train
6,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237854251-223166.JPG,1,train
7,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237854576-223245.JPG,2,train
8,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237855975-149356.JPG,1,train
9,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237857801-223944.JPG,1,train
10,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237858626-224115.JPG,1,train
11,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237861282-299876.JPG,3,train
12,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237862652-300134.JPG,3,train
13,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237870260-150860.JPG,4,train
14,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237870269-77014.JPG,5,train
15,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237883094-77031.JPG,6,train
16,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237885623-2662.JPG,7,train
17,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237885859-77044.JPG,8,train
18,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237887676-225111.JPG,9,train
19,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237892546-225139.JPG,10,train
20,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237894455-150951.JPG,11,train
21,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237895277-300324.JPG,12,train
22,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237897646-225161.JPG,13,train
23,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237899659-77092.JPG,14,train
24,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237899730-150973.JPG,15,train
25,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237901267-300359.JPG,16,train
26,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237905425-150996.JPG,17,train
27,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237905710-151001.JPG,18,train
28,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237911200-151030.JPG,19,train
29,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237911546-225226.JPG,13,train
30,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237912500-151056.JPG,20,train
31,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237913056-225274.JPG,21,train
32,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237913270-151092.JPG,22,train
33,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237913540-151112.JPG,23,train
34,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237914414-77291.JPG,24,train
35,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237914536-225349.JPG,14,train
36,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237914690-151167.JPG,25,train
37,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237915539-77350.JPG,26,train
38,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237915704-77361.JPG,27,train
39,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237915957-300611.JPG,28,train
40,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237916055-151236.JPG,29,train
41,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237916261-225437.JPG,5,train
42,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237916499-77397.JPG,30,train
43,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237916845-151275.JPG,31,train
44,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237917386-225480.JPG,32,train
45,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237917462-300666.JPG,24,train
46,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237918198-3057.JPG,33,train
47,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237920243-3146.JPG,31,train
48,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237920948-3179.JPG,34,train
49,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237921149-77582.JPG,35,train
50,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237921520-151440.JPG,2,train
51,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237921697-300841.JPG,11,train
52,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237921763-3206.JPG,36,train
53,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237921763-3208.JPG,36,train
54,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237921851-225655.JPG,37,train
55,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237922193-3230.JPG,10,train
56,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237922332-300874.JPG,38,train
57,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237922811-225697.JPG,39,train
58,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237922957-300898.JPG,40,train
59,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237923333-3268.JPG,34,train
60,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237924616-225766.JPG,41,train
